Time, Tie_Power, L1, L2, L3, L4, Pess, P1, P2, P3, P4
3193.5, 2017.336181640625, 1106.43115234375, 1105.983642578125, 1106.7994384765625, 1105.1103515625, 2080.797607421875, 1538.675048828125, 1259.0318603515625, 1043.9212646484375, 629.4070434570312
3193.75, 2017.88427734375, 1106.403076171875, 1106.009033203125, 1106.81982421875, 1105.1177978515625, 2080.666259765625, 1538.9908447265625, 1258.011962890625, 1043.4412841796875, 629.321533203125
3194.0, 2011.325439453125, 1106.4091796875, 1106.0335693359375, 1106.8668212890625, 1105.1435546875, 2079.915771484375, 1536.640625, 1257.4422607421875, 1042.78369140625, 629.820556640625
3194.25, 2014.9771728515625, 1106.45068359375, 1105.9903564453125, 1106.78564453125, 1105.129638671875, 2079.52490234375, 1536.2374267578125, 1257.6982421875, 1044.0057373046875, 628.3414916992188
3194.5, 2018.3828125, 1106.4422607421875, 1105.9801025390625, 1106.7554931640625, 1105.134521484375, 2079.041259765625, 1538.2783203125, 1258.57861328125, 1043.483642578125, 628.3063354492188
3194.75, 2009.2308349609375, 1106.4964599609375, 1106.038330078125, 1106.84521484375, 1105.1705322265625, 2079.5615234375, 1536.7894287109375, 1259.4327392578125, 1045.398193359375, 629.1804809570312
3195.0, 2009.0145263671875, 1106.4066162109375, 1105.9613037109375, 1106.8017578125, 1105.1412353515625, 2077.041748046875, 1536.5501708984375, 1257.496826171875, 1042.3646240234375, 629.0149536132812
3195.25, 1966.2567138671875, 1106.433349609375, 1105.993408203125, 1106.80029296875, 1105.145751953125, 2039.379638671875, 1537.2161865234375, 1258.5887451171875, 1042.6700439453125, 629.4122314453125
3195.5, 1933.4810791015625, 1106.4371337890625, 1106.0999755859375, 1106.77099609375, 1105.12646484375, 2026.368896484375, 1531.9793701171875, 1241.6251220703125, 1044.8941650390625, 630.4077758789062
3195.75, 1890.5146484375, 1106.434326171875, 1106.0833740234375, 1106.80126953125, 1105.17236328125, 2023.6585693359375, 1523.045166015625, 1223.9912109375, 1033.534423828125, 624.3080444335938
3196.0, 1864.81787109375, 1106.439208984375, 1106.0989990234375, 1106.867919921875, 1105.1776123046875, 2022.2078857421875, 1520.82568359375, 1220.4927978515625, 1019.5206298828125, 613.6942749023438
3196.25, 1861.6033935546875, 1106.4595947265625, 1106.134765625, 1106.9178466796875, 1105.1929931640625, 2023.470703125, 1523.078125, 1218.66064453125, 1019.4942016601562, 611.7333374023438
3196.5, 1861.7713623046875, 1106.4505615234375, 1106.1231689453125, 1106.896728515625, 1105.1807861328125, 2024.072021484375, 1521.373291015625, 1221.541015625, 1018.8886108398438, 610.0532836914062
3196.75, 1866.33837890625, 1106.4259033203125, 1106.1163330078125, 1106.876708984375, 1105.14599609375, 2023.721435546875, 1523.322021484375, 1218.98828125, 1017.9202880859375, 611.9427490234375
3197.0, 1866.60400390625, 1106.427490234375, 1106.099365234375, 1106.887939453125, 1105.146484375, 2024.0484619140625, 1523.043212890625, 1220.7010498046875, 1018.4480590820312, 610.8829956054688
